source,destination,status,size_kb
/content/drive/MyDrive/xai_coupled_nmf_project/src/validate_csv_exports.py,src/models/validate_csv_exports.py,COPIED,2.59
GENERATED,src/preprocessing/README.md,GENERATED,0.21
GENERATED,src/models/README.md,GENERATED,0.2
GENERATED,src/evaluation/README.md,GENERATED,0.21
GENERATED,src/explanation/README.md,GENERATED,0.21
GENERATED,src/statistics/README.md,GENERATED,0.21
GENERATED,src/manuscript_outputs/README.md,GENERATED,0.22
GENERATED,scripts/run_ml_latest_small_pipeline.py,GENERATED,0.72
GENERATED,scripts/run_ml1m_3seed_evaluation.py,GENERATED,0.41
GENERATED,scripts/generate_tables.py,GENERATED,0.35
GENERATED,scripts/generate_figures.py,GENERATED,0.35
GENERATED,scripts/run_significance_tests.py,GENERATED,0.37
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml_latest_small_baseline_smoke_test.csv,results/csv/ml_latest_small_baseline_smoke_test.csv,COPIED,0.21
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml_latest_small_coupled_nmf_selected_config.csv,results/csv/ml_latest_small_coupled_nmf_selected_config.csv,COPIED,0.33
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml_latest_small_coupled_nmf_tuning_grid.csv,results/csv/ml_latest_small_coupled_nmf_tuning_grid.csv,COPIED,4.85
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml_latest_small_dataset_summary.csv,results/csv/ml_latest_small_dataset_summary.csv,COPIED,0.19
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml_latest_small_explanation_fidelity_summary.csv,results/csv/ml_latest_small_explanation_fidelity_summary.csv,COPIED,0.33
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml_latest_small_explanation_fidelity_summary_extended.csv,results/csv/ml_latest_small_explanation_fidelity_summary_extended.csv,COPIED,0.63
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml_latest_small_explanation_instances.csv,results/csv/ml_latest_small_explanation_instances.csv,COPIED,106.28
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml_latest_small_explanation_instances_extended.csv,results/csv/ml_latest_small_explanation_instances_extended.csv,COPIED,203.75
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml_latest_small_explanation_metrics.csv,results/csv/ml_latest_small_explanation_metrics.csv,COPIED,0.17
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml_latest_small_explanation_metrics_extended.csv,results/csv/ml_latest_small_explanation_metrics_extended.csv,COPIED,0.32
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml_latest_small_factor_descriptor_weights.csv,results/csv/ml_latest_small_factor_descriptor_weights.csv,COPIED,458.08
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml_latest_small_factor_keywords.csv,results/csv/ml_latest_small_factor_keywords.csv,COPIED,3.65
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml_latest_small_high_fidelity_examples.csv,results/csv/ml_latest_small_high_fidelity_examples.csv,COPIED,2.17
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml_latest_small_high_fidelity_examples_extended.csv,results/csv/ml_latest_small_high_fidelity_examples_extended.csv,COPIED,6.2
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml_latest_small_interpretability_selected_config.csv,results/csv/ml_latest_small_interpretability_selected_config.csv,COPIED,0.48
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml_latest_small_interpretability_tuning_grid.csv,results/csv/ml_latest_small_interpretability_tuning_grid.csv,COPIED,10.21
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml_latest_small_low_fidelity_examples.csv,results/csv/ml_latest_small_low_fidelity_examples.csv,COPIED,2.18
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml_latest_small_low_fidelity_examples_extended.csv,results/csv/ml_latest_small_low_fidelity_examples_extended.csv,COPIED,6.3
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml_latest_small_main_comparison.csv,results/csv/ml_latest_small_main_comparison.csv,COPIED,1.62
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml_latest_small_plain_vs_coupled_delta.csv,results/csv/ml_latest_small_plain_vs_coupled_delta.csv,COPIED,0.87
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml_latest_small_recommendation_traces.csv,results/csv/ml_latest_small_recommendation_traces.csv,COPIED,26.9
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml_latest_small_run_level_metrics.csv,results/csv/ml_latest_small_run_level_metrics.csv,COPIED,3.92
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml_latest_small_significance_tests.csv,results/csv/ml_latest_small_significance_tests.csv,COPIED,5.42
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml_latest_small_split_registry.csv,results/csv/ml_latest_small_split_registry.csv,COPIED,21397.12
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml1m_3seed_main_comparison.csv,results/csv/ml1m_3seed_main_comparison.csv,COPIED,1.57
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml1m_3seed_run_level_metrics.csv,results/csv/ml1m_3seed_run_level_metrics.csv,COPIED,2.2
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml1m_baseline_smoke_test.csv,results/csv/ml1m_baseline_smoke_test.csv,COPIED,0.19
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml1m_coupled_nmf_selected_config_seed42.csv,results/csv/ml1m_coupled_nmf_selected_config_seed42.csv,COPIED,0.47
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml1m_coupled_nmf_tuned_test_metrics_seed42.csv,results/csv/ml1m_coupled_nmf_tuned_test_metrics_seed42.csv,COPIED,0.51
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml1m_coupled_nmf_tuning_grid_seed42.csv,results/csv/ml1m_coupled_nmf_tuning_grid_seed42.csv,COPIED,7.96
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml1m_dataset_summary.csv,results/csv/ml1m_dataset_summary.csv,COPIED,0.19
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml1m_factor_descriptor_weights.csv,results/csv/ml1m_factor_descriptor_weights.csv,COPIED,22.22
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml1m_factor_keywords.csv,results/csv/ml1m_factor_keywords.csv,COPIED,2.43
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml1m_main_comparison_seed42.csv,results/csv/ml1m_main_comparison_seed42.csv,COPIED,1.0
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml1m_main_comparison_seed42_after_coupled_tuning.csv,results/csv/ml1m_main_comparison_seed42_after_coupled_tuning.csv,COPIED,0.94
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml1m_recommendation_traces.csv,results/csv/ml1m_recommendation_traces.csv,COPIED,21.33
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml1m_run_level_metrics.csv,results/csv/ml1m_run_level_metrics.csv,COPIED,0.78
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml1m_significance_tests.csv,results/csv/ml1m_significance_tests.csv,COPIED,3.62
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/ml1m_split_registry.csv,results/csv/ml1m_split_registry.csv,COPIED,260881.84
/content/drive/MyDrive/xai_coupled_nmf_project/results/csv/statistical_tests_all_datasets.csv,results/csv/statistical_tests_all_datasets.csv,COPIED,8.75
/content/drive/MyDrive/xai_coupled_nmf_project/results/tables/ml1m_3seed_table_include_commands.tex,results/tables/ml1m_3seed_table_include_commands.tex,COPIED,0.11
/content/drive/MyDrive/xai_coupled_nmf_project/results/tables/ml1m_seed42_all_manuscript_tables.tex,results/tables/ml1m_seed42_all_manuscript_tables.tex,COPIED,6.68
/content/drive/MyDrive/xai_coupled_nmf_project/results/tables/ml1m_seed42_table_include_commands.tex,results/tables/ml1m_seed42_table_include_commands.tex,COPIED,0.49
/content/drive/MyDrive/xai_coupled_nmf_project/results/tables/ml1m_table_include_commands.tex,results/tables/ml1m_table_include_commands.tex,COPIED,0.18
/content/drive/MyDrive/xai_coupled_nmf_project/results/tables/ml_latest_small_all_manuscript_tables.tex,results/tables/ml_latest_small_all_manuscript_tables.tex,COPIED,6.7
/content/drive/MyDrive/xai_coupled_nmf_project/results/tables/ml_latest_small_table_include_commands.tex,results/tables/ml_latest_small_table_include_commands.tex,COPIED,0.57
/content/drive/MyDrive/xai_coupled_nmf_project/results/tables/statistical_tests_table_include_commands.tex,results/tables/statistical_tests_table_include_commands.tex,COPIED,0.2
/content/drive/MyDrive/xai_coupled_nmf_project/results/tables/table_appendix_baseline_smoke_test.tex,results/tables/table_appendix_baseline_smoke_test.tex,COPIED,0.58
/content/drive/MyDrive/xai_coupled_nmf_project/results/tables/table_appendix_model_development_versions.tex,results/tables/table_appendix_model_development_versions.tex,COPIED,0.82
/content/drive/MyDrive/xai_coupled_nmf_project/results/tables/table_ml1m_3seed_secondary_validation.tex,results/tables/table_ml1m_3seed_secondary_validation.tex,COPIED,1.41
/content/drive/MyDrive/xai_coupled_nmf_project/results/tables/table_ml1m_baseline_smoke_test_seed42.tex,results/tables/table_ml1m_baseline_smoke_test_seed42.tex,COPIED,0.62
/content/drive/MyDrive/xai_coupled_nmf_project/results/tables/table_ml1m_coupled_selected_config_seed42.tex,results/tables/table_ml1m_coupled_selected_config_seed42.tex,COPIED,0.68
/content/drive/MyDrive/xai_coupled_nmf_project/results/tables/table_ml1m_coupled_test_explanation_metrics_seed42.tex,results/tables/table_ml1m_coupled_test_explanation_metrics_seed42.tex,COPIED,0.69
/content/drive/MyDrive/xai_coupled_nmf_project/results/tables/table_ml1m_secondary_validation_seed42.tex,results/tables/table_ml1m_secondary_validation_seed42.tex,COPIED,1.24
/content/drive/MyDrive/xai_coupled_nmf_project/results/tables/table_ml1m_significance_tests.tex,results/tables/table_ml1m_significance_tests.tex,COPIED,1.21
/content/drive/MyDrive/xai_coupled_nmf_project/results/tables/table_ml1m_top_tuning_configs_seed42.tex,results/tables/table_ml1m_top_tuning_configs_seed42.tex,COPIED,1.33
/content/drive/MyDrive/xai_coupled_nmf_project/results/tables/table_ml1m_tuned_vs_untuned_coupled_delta_seed42.tex,results/tables/table_ml1m_tuned_vs_untuned_coupled_delta_seed42.tex,COPIED,0.95
/content/drive/MyDrive/xai_coupled_nmf_project/results/tables/table_ml_latest_small_explanation_metrics_v2.tex,results/tables/table_ml_latest_small_explanation_metrics_v2.tex,COPIED,0.59
/content/drive/MyDrive/xai_coupled_nmf_project/results/tables/table_ml_latest_small_fidelity_distribution_v2.tex,results/tables/table_ml_latest_small_fidelity_distribution_v2.tex,COPIED,0.62
/content/drive/MyDrive/xai_coupled_nmf_project/results/tables/table_ml_latest_small_main_comparison_v2.tex,results/tables/table_ml_latest_small_main_comparison_v2.tex,COPIED,1.1
/content/drive/MyDrive/xai_coupled_nmf_project/results/tables/table_ml_latest_small_plain_vs_coupled_delta_v2.tex,results/tables/table_ml_latest_small_plain_vs_coupled_delta_v2.tex,COPIED,0.81
/content/drive/MyDrive/xai_coupled_nmf_project/results/tables/table_ml_latest_small_selected_config_v2.tex,results/tables/table_ml_latest_small_selected_config_v2.tex,COPIED,0.44
/content/drive/MyDrive/xai_coupled_nmf_project/results/tables/table_ml_latest_small_significance_tests.tex,results/tables/table_ml_latest_small_significance_tests.tex,COPIED,1.14
/content/drive/MyDrive/xai_coupled_nmf_project/results/tables/table_ml_latest_small_top_v3_fidelity_configs.tex,results/tables/table_ml_latest_small_top_v3_fidelity_configs.tex,COPIED,0.96
/content/drive/MyDrive/xai_coupled_nmf_project/results/tables/table_ml_latest_small_v3_interpretability_diagnostic.tex,results/tables/table_ml_latest_small_v3_interpretability_diagnostic.tex,COPIED,0.85
/content/drive/MyDrive/xai_coupled_nmf_project/paper/tables/ml1m_3seed_table_include_commands.tex,paper_assets/tables/ml1m_3seed_table_include_commands.tex,COPIED,0.11
/content/drive/MyDrive/xai_coupled_nmf_project/paper/tables/ml1m_seed42_all_manuscript_tables.tex,paper_assets/tables/ml1m_seed42_all_manuscript_tables.tex,COPIED,6.68
/content/drive/MyDrive/xai_coupled_nmf_project/paper/tables/ml1m_seed42_table_include_commands.tex,paper_assets/tables/ml1m_seed42_table_include_commands.tex,COPIED,0.49
/content/drive/MyDrive/xai_coupled_nmf_project/paper/tables/ml1m_table_include_commands.tex,paper_assets/tables/ml1m_table_include_commands.tex,COPIED,0.18
/content/drive/MyDrive/xai_coupled_nmf_project/paper/tables/ml_latest_small_all_manuscript_tables.tex,paper_assets/tables/ml_latest_small_all_manuscript_tables.tex,COPIED,6.7
/content/drive/MyDrive/xai_coupled_nmf_project/paper/tables/ml_latest_small_table_include_commands.tex,paper_assets/tables/ml_latest_small_table_include_commands.tex,COPIED,0.57
/content/drive/MyDrive/xai_coupled_nmf_project/paper/tables/statistical_tests_table_include_commands.tex,paper_assets/tables/statistical_tests_table_include_commands.tex,COPIED,0.2
/content/drive/MyDrive/xai_coupled_nmf_project/paper/tables/table_appendix_baseline_smoke_test.tex,paper_assets/tables/table_appendix_baseline_smoke_test.tex,COPIED,0.58
/content/drive/MyDrive/xai_coupled_nmf_project/paper/tables/table_appendix_model_development_versions.tex,paper_assets/tables/table_appendix_model_development_versions.tex,COPIED,0.82
/content/drive/MyDrive/xai_coupled_nmf_project/paper/tables/table_ml1m_3seed_secondary_validation.tex,paper_assets/tables/table_ml1m_3seed_secondary_validation.tex,COPIED,1.41
/content/drive/MyDrive/xai_coupled_nmf_project/paper/tables/table_ml1m_baseline_smoke_test_seed42.tex,paper_assets/tables/table_ml1m_baseline_smoke_test_seed42.tex,COPIED,0.62
/content/drive/MyDrive/xai_coupled_nmf_project/paper/tables/table_ml1m_coupled_selected_config_seed42.tex,paper_assets/tables/table_ml1m_coupled_selected_config_seed42.tex,COPIED,0.68
/content/drive/MyDrive/xai_coupled_nmf_project/paper/tables/table_ml1m_coupled_test_explanation_metrics_seed42.tex,paper_assets/tables/table_ml1m_coupled_test_explanation_metrics_seed42.tex,COPIED,0.69
/content/drive/MyDrive/xai_coupled_nmf_project/paper/tables/table_ml1m_secondary_validation_seed42.tex,paper_assets/tables/table_ml1m_secondary_validation_seed42.tex,COPIED,1.24
/content/drive/MyDrive/xai_coupled_nmf_project/paper/tables/table_ml1m_significance_tests.tex,paper_assets/tables/table_ml1m_significance_tests.tex,COPIED,1.21
/content/drive/MyDrive/xai_coupled_nmf_project/paper/tables/table_ml1m_top_tuning_configs_seed42.tex,paper_assets/tables/table_ml1m_top_tuning_configs_seed42.tex,COPIED,1.33
/content/drive/MyDrive/xai_coupled_nmf_project/paper/tables/table_ml1m_tuned_vs_untuned_coupled_delta_seed42.tex,paper_assets/tables/table_ml1m_tuned_vs_untuned_coupled_delta_seed42.tex,COPIED,0.95
/content/drive/MyDrive/xai_coupled_nmf_project/paper/tables/table_ml_latest_small_explanation_metrics_v2.tex,paper_assets/tables/table_ml_latest_small_explanation_metrics_v2.tex,COPIED,0.59
/content/drive/MyDrive/xai_coupled_nmf_project/paper/tables/table_ml_latest_small_fidelity_distribution_v2.tex,paper_assets/tables/table_ml_latest_small_fidelity_distribution_v2.tex,COPIED,0.62
/content/drive/MyDrive/xai_coupled_nmf_project/paper/tables/table_ml_latest_small_main_comparison_v2.tex,paper_assets/tables/table_ml_latest_small_main_comparison_v2.tex,COPIED,1.1
/content/drive/MyDrive/xai_coupled_nmf_project/paper/tables/table_ml_latest_small_plain_vs_coupled_delta_v2.tex,paper_assets/tables/table_ml_latest_small_plain_vs_coupled_delta_v2.tex,COPIED,0.81
/content/drive/MyDrive/xai_coupled_nmf_project/paper/tables/table_ml_latest_small_selected_config_v2.tex,paper_assets/tables/table_ml_latest_small_selected_config_v2.tex,COPIED,0.44
/content/drive/MyDrive/xai_coupled_nmf_project/paper/tables/table_ml_latest_small_significance_tests.tex,paper_assets/tables/table_ml_latest_small_significance_tests.tex,COPIED,1.14
/content/drive/MyDrive/xai_coupled_nmf_project/paper/tables/table_ml_latest_small_top_v3_fidelity_configs.tex,paper_assets/tables/table_ml_latest_small_top_v3_fidelity_configs.tex,COPIED,0.96
/content/drive/MyDrive/xai_coupled_nmf_project/paper/tables/table_ml_latest_small_v3_interpretability_diagnostic.tex,paper_assets/tables/table_ml_latest_small_v3_interpretability_diagnostic.tex,COPIED,0.85
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig01_ml_latest_small_overall_benchmark_comparison.pdf,results/figures/fig01_ml_latest_small_overall_benchmark_comparison.pdf,COPIED,16.77
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig02_ml_latest_small_plain_vs_coupled_relative_improvement.pdf,results/figures/fig02_ml_latest_small_plain_vs_coupled_relative_improvement.pdf,COPIED,16.65
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig03_ml_latest_small_explanation_fidelity_distribution.pdf,results/figures/fig03_ml_latest_small_explanation_fidelity_distribution.pdf,COPIED,15.35
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig04_ml_latest_small_interpretability_tradeoff.pdf,results/figures/fig04_ml_latest_small_interpretability_tradeoff.pdf,COPIED,16.48
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig05_ml_latest_small_factor_keyword_map.pdf,results/figures/fig05_ml_latest_small_factor_keyword_map.pdf,COPIED,19.21
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig06_ml_latest_small_recommendation_explanation_examples.pdf,results/figures/fig06_ml_latest_small_recommendation_explanation_examples.pdf,COPIED,21.49
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig07_ml_latest_small_model_development_versions.pdf,results/figures/fig07_ml_latest_small_model_development_versions.pdf,COPIED,16.17
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig_ml1m_3seed_secondary_validation_comparison.pdf,results/figures/fig_ml1m_3seed_secondary_validation_comparison.pdf,COPIED,16.62
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig_ml1m_seed42_baseline_smoke_test.pdf,results/figures/fig_ml1m_seed42_baseline_smoke_test.pdf,COPIED,12.98
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig_ml1m_seed42_explanation_fidelity_profile.pdf,results/figures/fig_ml1m_seed42_explanation_fidelity_profile.pdf,COPIED,13.82
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig_ml1m_seed42_fidelity_ndcg_tradeoff.pdf,results/figures/fig_ml1m_seed42_fidelity_ndcg_tradeoff.pdf,COPIED,16.34
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig_ml1m_seed42_secondary_validation_comparison.pdf,results/figures/fig_ml1m_seed42_secondary_validation_comparison.pdf,COPIED,16.55
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig_ml1m_seed42_top_tuning_configurations.pdf,results/figures/fig_ml1m_seed42_top_tuning_configurations.pdf,COPIED,16.03
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig_ml1m_seed42_tuned_vs_untuned_coupled_improvement.pdf,results/figures/fig_ml1m_seed42_tuned_vs_untuned_coupled_improvement.pdf,COPIED,17.73
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig_ml1m_seed42_tuning_grid_ndcg_by_alpha.pdf,results/figures/fig_ml1m_seed42_tuning_grid_ndcg_by_alpha.pdf,COPIED,19.05
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig_ml1m_significance_effects.pdf,results/figures/fig_ml1m_significance_effects.pdf,COPIED,18.79
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig_ml_latest_small_significance_effects.pdf,results/figures/fig_ml_latest_small_significance_effects.pdf,COPIED,17.44
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig01_ml_latest_small_overall_benchmark_comparison.png,results/figures/fig01_ml_latest_small_overall_benchmark_comparison.png,COPIED,107.02
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig02_ml_latest_small_plain_vs_coupled_relative_improvement.png,results/figures/fig02_ml_latest_small_plain_vs_coupled_relative_improvement.png,COPIED,109.11
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig03_ml_latest_small_explanation_fidelity_distribution.png,results/figures/fig03_ml_latest_small_explanation_fidelity_distribution.png,COPIED,104.59
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig04_ml_latest_small_interpretability_tradeoff.png,results/figures/fig04_ml_latest_small_interpretability_tradeoff.png,COPIED,117.57
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig05_ml_latest_small_factor_keyword_map.png,results/figures/fig05_ml_latest_small_factor_keyword_map.png,COPIED,137.42
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig06_ml_latest_small_recommendation_explanation_examples.png,results/figures/fig06_ml_latest_small_recommendation_explanation_examples.png,COPIED,391.08
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig07_ml_latest_small_model_development_versions.png,results/figures/fig07_ml_latest_small_model_development_versions.png,COPIED,120.67
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig_ml1m_3seed_secondary_validation_comparison.png,results/figures/fig_ml1m_3seed_secondary_validation_comparison.png,COPIED,103.03
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig_ml1m_seed42_baseline_smoke_test.png,results/figures/fig_ml1m_seed42_baseline_smoke_test.png,COPIED,60.8
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig_ml1m_seed42_explanation_fidelity_profile.png,results/figures/fig_ml1m_seed42_explanation_fidelity_profile.png,COPIED,128.13
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig_ml1m_seed42_fidelity_ndcg_tradeoff.png,results/figures/fig_ml1m_seed42_fidelity_ndcg_tradeoff.png,COPIED,111.63
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig_ml1m_seed42_secondary_validation_comparison.png,results/figures/fig_ml1m_seed42_secondary_validation_comparison.png,COPIED,116.81
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig_ml1m_seed42_top_tuning_configurations.png,results/figures/fig_ml1m_seed42_top_tuning_configurations.png,COPIED,166.28
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig_ml1m_seed42_tuned_vs_untuned_coupled_improvement.png,results/figures/fig_ml1m_seed42_tuned_vs_untuned_coupled_improvement.png,COPIED,117.58
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig_ml1m_seed42_tuning_grid_ndcg_by_alpha.png,results/figures/fig_ml1m_seed42_tuning_grid_ndcg_by_alpha.png,COPIED,112.98
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig_ml1m_significance_effects.png,results/figures/fig_ml1m_significance_effects.png,COPIED,173.45
/content/drive/MyDrive/xai_coupled_nmf_project/results/figures/fig_ml_latest_small_significance_effects.png,results/figures/fig_ml_latest_small_significance_effects.png,COPIED,170.83
/content/drive/MyDrive/xai_coupled_nmf_project/paper/figures/fig01_ml_latest_small_overall_benchmark_comparison.pdf,paper_assets/figures/fig01_ml_latest_small_overall_benchmark_comparison.pdf,COPIED,16.77
/content/drive/MyDrive/xai_coupled_nmf_project/paper/figures/fig02_ml_latest_small_plain_vs_coupled_relative_improvement.pdf,paper_assets/figures/fig02_ml_latest_small_plain_vs_coupled_relative_improvement.pdf,COPIED,16.65
/content/drive/MyDrive/xai_coupled_nmf_project/paper/figures/fig03_ml_latest_small_explanation_fidelity_distribution.pdf,paper_assets/figures/fig03_ml_latest_small_explanation_fidelity_distribution.pdf,COPIED,15.35
/content/drive/MyDrive/xai_coupled_nmf_project/paper/figures/fig04_ml_latest_small_interpretability_tradeoff.pdf,paper_assets/figures/fig04_ml_latest_small_interpretability_tradeoff.pdf,COPIED,16.48
/content/drive/MyDrive/xai_coupled_nmf_project/paper/figures/fig05_ml_latest_small_factor_keyword_map.pdf,paper_assets/figures/fig05_ml_latest_small_factor_keyword_map.pdf,COPIED,19.21
/content/drive/MyDrive/xai_coupled_nmf_project/paper/figures/fig06_ml_latest_small_recommendation_explanation_examples.pdf,paper_assets/figures/fig06_ml_latest_small_recommendation_explanation_examples.pdf,COPIED,21.49
/content/drive/MyDrive/xai_coupled_nmf_project/paper/figures/fig07_ml_latest_small_model_development_versions.pdf,paper_assets/figures/fig07_ml_latest_small_model_development_versions.pdf,COPIED,16.17
